id,doi,trueSubject,predicted,isCorrect
doi:10.7910/DVN/HQQH5,doi:10.7910/DVN/HQQH5,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USUNCPOLL1988-FALL,hdl:1902.4/USUNCPOLL1988-FALL,['Social Sciences'],['Social Sciences'],True
hdl:20.500.11766.1/FK2/BD4HZW,hdl:20.500.11766.1/FK2/BD4HZW,['Agricultural Sciences'],['Agricultural Sciences'],True
doi:10.7910/DVN/6WAXV,doi:10.7910/DVN/6WAXV,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/BWJWJF,doi:10.7910/DVN/BWJWJF,"['Medicine, Health and Life Sciences', 'Other']","['Medicine, Health and Life Sciences']",True
doi:10.7910/DVN/MBDVCJ,doi:10.7910/DVN/MBDVCJ,['Social Sciences'],['Social Sciences'],True
doi:10.11588/data/HJ6SVM,doi:10.11588/data/HJ6SVM,"['Chemistry', 'Computer and Information Science', 'Medicine, Health and Life Sciences', 'Physics']","['Medicine, Health and Life Sciences', 'Physics']",True
doi:10.7910/DVN/0BZCCP,doi:10.7910/DVN/0BZCCP,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/GQVICJ,doi:10.7910/DVN/GQVICJ,"['Arts and Humanities', 'Business and Management', 'Computer and Information Science', 'Social Sciences']","['Business and Management', 'Computer and Information Science', 'Social Sciences']",True
doi:10.7910/DVN/HC9397,doi:10.7910/DVN/HC9397,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USHARRIS1994-943006,hdl:1902.4/USHARRIS1994-943006,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/EZT25F,doi:10.7910/DVN/EZT25F,['Social Sciences'],['Social Sciences'],True
doi:10.34894/KOYAWR,doi:10.34894/KOYAWR,"['Arts and Humanities', 'Earth and Environmental Sciences']","['Arts and Humanities', 'Earth and Environmental Sciences']",True
doi:10.7910/DVN/STUQ1B,doi:10.7910/DVN/STUQ1B,['Other'],['Arts and Humanities'],False
doi:10.7910/DVN/YL9V2V,doi:10.7910/DVN/YL9V2V,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/Y81XTM,doi:10.7910/DVN/Y81XTM,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
doi:10.7910/DVN/BZB0S2,doi:10.7910/DVN/BZB0S2,"['Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
doi:10.7910/DVN/CCKENU,doi:10.7910/DVN/CCKENU,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/ISUSIA1997-I97001,hdl:1902.4/ISUSIA1997-I97001,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/8YZT9K,doi:10.7910/DVN/8YZT9K,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/HVFWYV,doi:10.7910/DVN/HVFWYV,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
doi:10.7910/DVN/AVHWNS,doi:10.7910/DVN/AVHWNS,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/74N5YH,doi:10.7910/DVN/74N5YH,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/89UES,doi:10.7910/DVN/89UES,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/YA4SNF,doi:10.7910/DVN/YA4SNF,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/JKNO2P,doi:10.7910/DVN/JKNO2P,['Arts and Humanities'],"['Arts and Humanities', 'Social Sciences']",True
