"dimension","value","id","coder","accepted","llm"
"self-esteem","high",1626400082496049152,3,"N","LLAMA2"
"resilience","medium",1626400082496049152,3,"N","LLAMA2"
"positive functioning","medium",1626400082496049152,3,"N","LLAMA2"
"expressing optimism","medium",1626400082496049152,3,"N","LLAMA2"
"belonging to society","high",1626400082496049152,3,"Y","LLAMA2"
"expressing gratitude","high",1626400082496049152,3,"Y","LLAMA2"
"feeling trusted","medium",1626400082496049152,3,"N","LLAMA2"
"balance in the various aspects of own life","high",1626400082496049152,3,"N","LLAMA2"
"mastery (ability, capability)","high",1626400082496049152,3,"N","LLAMA2"
"financial/material worry","low",1626400082496049152,3,"N","LLAMA2"
"having hope","high",1626400082496049152,3,"N","LLAMA2"
"resilience","low",1632138964428627970,3,"N","LLAMA2"
"self-esteem","low",1632138964428627970,3,"N","LLAMA2"
"life satisfaction","low",1632138964428627970,3,"N","LLAMA2"
"fear of future","high",1632138964428627970,3,"N","LLAMA2"
"vitality","low",1632138964428627970,3,"N","LLAMA2"
"having energy","low",1632138964428627970,3,"N","LLAMA2"
"positive functioning","low",1632138964428627970,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1632138964428627970,3,"Y","LLAMA2"
"purpose in life","low",1632138964428627970,3,"N","LLAMA2"
"depression","high",1632138964428627970,3,"N","LLAMA2"
"anxiety","high",1632138964428627970,3,"N","LLAMA2"
"suffering","high",1632138964428627970,3,"N","LLAMA2"
"feeling pain","high",1632138964428627970,3,"N","LLAMA2"
"belonging to society","low",1632138964428627970,3,"Y","LLAMA2"
"quality of relationships","low",1632138964428627970,3,"Y","LLAMA2"
"perceiving discrimination","high",1632138964428627970,3,"Y","LLAMA2"
"feeling loved by god","low",1632138964428627970,3,"N","LLAMA2"
"belief in god","low",1632138964428627970,3,"N","LLAMA2"
"feeling having a political voice","high",1632138964428627970,3,"N","LLAMA2"
"expressing government approval","low",1632138964428627970,3,"N","LLAMA2"
"having hope","low",1632138964428627970,3,"N","LLAMA2"
"expressing empathy","low",1632138964428627970,3,"Y","LLAMA2"
"describing health limitations","medium",1632138964428627970,3,"N","LLAMA2"
"self-esteem","low",1630547185292005376,3,"N","LLAMA2"
"resilience","low",1630547185292005376,3,"N","LLAMA2"
"purpose in life","low",1630547185292005376,3,"N","LLAMA2"
"happiness","low",1630547185292005376,3,"Y","LLAMA2"
"life satisfaction","low",1630547185292005376,3,"Y","LLAMA2"
"belonging to society","low",1630547185292005376,3,"Y","LLAMA2"
"expressing trust","low",1630547185292005376,3,"Y","LLAMA2"
"feeling trusted","low",1630547185292005376,3,"N","LLAMA2"
"perceiving discrimination","high",1630547185292005376,3,"Y","LLAMA2"
"spiritual punishment","high",1630547185292005376,3,"N","LLAMA2"
"expressing empathy","low",1630547185292005376,3,"N","LLAMA2"
"describing health limitations","medium",1630547185292005376,3,"N","LLAMA2"
"happiness","low",1630306090503004163,3,"N","LLAMA2"
"life satisfaction","low",1630306090503004163,3,"N","LLAMA2"
"fear of future","high",1630306090503004163,3,"Y","LLAMA2"
"vitality","low",1630306090503004163,3,"N","LLAMA2"
"expressing optimism","low",1630306090503004163,3,"N","LLAMA2"
"expressing altruism","low",1630306090503004163,3,"N","LLAMA2"
"loneliness","high",1630306090503004163,3,"N","LLAMA2"
"quality of relationships","low",1630306090503004163,3,"N","LLAMA2"
"belonging to society","low",1630306090503004163,3,"N","LLAMA2"
"expressing gratitude","low",1630306090503004163,3,"N","LLAMA2"
"feeling trusted","low",1630306090503004163,3,"N","LLAMA2"
"balance in the various aspects of own life","low",1630306090503004163,3,"N","LLAMA2"
"mastery (ability, capability)","low",1630306090503004163,3,"N","LLAMA2"
"perceiving discrimination","low",1630306090503004163,3,"N","LLAMA2"
"feeling loved by god","low",1630306090503004163,3,"N","LLAMA2"
"belief in god","low",1630306090503004163,3,"N","LLAMA2"
"religious criticism","low",1630306090503004163,3,"N","LLAMA2"
