"id","answer"
1626400082496049152,"{ 'belonging to society' : 'high', 'expressing gratitude' : 'high' }"
1632138964428627970,"{ 'positive functioning' : 'low', 'peace with thoughts and feelings' : 'low', 'belonging to society' : 'low', 'quality of relationships' : 'low', 'perceiving discrimination' : 'high', 'expressing empathy' : 'low' }"
1630547185292005376,"{ 'happiness' : 'low', 'life satisfaction' : 'low', 'belonging to society' : 'low', 'expressing trust' : 'low', 'perceiving discrimination' : 'high' }"
1630306090503004163,"{ 'fear of future' : 'high' }"
1630854950686261249,"{ 'resilience' : 'medium', 'vitality' : 'high', 'positive functioning' : 'high', 'expressing optimism' : 'high', 'belonging to society' : 'medium', 'balance in the various aspects of own life' : 'medium', 'promoting good' : 'high' }"
1629049304332615681,"{ 'positive functioning' : 'high', 'expressing optimism' : 'high', 'purpose in life' : 'high', 'expressing altruism' : 'high', 'expressing gratitude' : 'high', 'belonging to society' : 'medium', 'expressing empathy' : 'high', 'life satisfaction' : 'high' }"
1630495567800352768,"{ 'happiness' : 'low', 'resilience' : 'low', 'life satisfaction' : 'low', 'fear of future' : 'high', 'vitality' : 'low', 'positive functioning' : 'low', 'expressing optimism' : 'low', 'peace with thoughts and feelings' : 'low', 'purpose in life' : 'low', 'suffering' : 'high' }"
1628664394388316160,"{ 'resilience' : 'medium', 'quality of relationships' : 'low', 'balance in the various aspects of own life' : 'medium', 'mastery (ability, capability)' : 'high' }"
1628446467969908739,"{ 'happiness' : 'high', 'positive functioning' : 'high', 'mastery (ability, capability)' : 'high', 'belonging to society' : 'low' }"
1626215908195844097,"{ 'happiness' : 'high', 'positive functioning' : 'high', 'expressing optimism' : 'high', 'expressing gratitude' : 'high', 'mastery (ability, capability)' : 'high', 'quality of relationships' : 'medium', 'promoting good' : 'high', 'having hope' : 'high', 'expressing empathy' : 'high' }"
1630852432983994370,"{ 'resilience' : 'high', 'expressing optimism' : 'high', 'expressing altruism' : 'high', 'belonging to society' : 'high', 'volunteering' : 'high', 'charitable giving/helping' : 'high', 'having hope' : 'high', 'promoting good' : 'high', 'expressing empathy' : 'high' }"
1634151254308843520,"{ 'happiness' : 'high', 'vitality' : 'high', 'positive functioning' : 'high', 'expressing optimism' : 'high', 'having hope' : 'high' }"
1632036448131076097,"{ 'happiness' : 'high', 'life satisfaction' : 'high', 'expressing gratitude' : 'high', 'belonging to society' : 'medium', 'expressing empathy' : 'high' }"
1631791490476261379,"{ 'happiness' : 'low', 'life satisfaction' : 'low', 'fear of future' : 'high', 'vitality' : 'low', 'positive functioning' : 'low', 'expressing optimism' : 'low', 'belonging to society' : 'low', 'perceiving discrimination' : 'medium', 'having hope' : 'low', 'expressing empathy' : 'low' }"
1630043941998563329,"{ 'happiness' : 'low', 'resilience' : 'medium', 'life satisfaction' : 'low', 'fear of future' : 'high', 'positive functioning' : 'medium', 'expressing optimism' : 'low', 'peace with thoughts and feelings' : 'low', 'anxiety' : 'medium', 'suffering' : 'high', 'feeling pain' : 'high', 'perceiving discrimination' : 'high', 'financial/material worry' : 'high', 'promoting good' : 'high', 'describing health limitations' : 'medium', 'expressing empathy' : 'high' }"
1628541307105824773,"{ 'happiness' : 'low', 'fear of future' : 'high', 'belonging to society' : 'medium', 'perceiving discrimination' : 'medium' }"
1633061553976033283,"{ 'happiness' : 'low', 'vitality' : 'low', 'expressing optimism' : 'low', 'life satisfaction' : 'low', 'belonging to society' : 'low', 'having hope' : 'low', 'describing health limitations' : 'medium' }"
1631948931813785600,"{ 'expressing gratitude' : 'high', 'financial/material worry' : 'high', 'having hope' : 'high', 'happiness' : 'low', 'fear of future' : 'high', 'expressing trust' : 'high' }"
1633220583566589954,"{ 'fear of future' : 'high', 'expressing optimism' : 'low', 'expressing trust' : 'low', 'describing smoking related health issues' : 'high' }"
1628523745022251009,"{ 'happiness' : 'high', 'life satisfaction' : 'high', 'expressing job satisfaction' : 'high', 'expressing optimism' : 'high', 'expressing gratitude' : 'high' }"
1626372146741055489,"{ 'happiness' : 'high', 'self-esteem' : 'high', 'life satisfaction' : 'high', 'vitality' : 'high', 'having energy' : 'high', 'expressing optimism' : 'high', 'purpose in life' : 'high' }"
1629475832111714305,"{ 'happiness' : 'low', 'resilience' : 'medium', 'expressing optimism' : 'low', 'expressing trust' : 'low', 'expressing government approval' : 'high', 'feeling having a political voice' : 'high' }"
1631604616952414208,"{ 'expressing empathy' : 'high' }"
1628772230032228353,"{ 'self-esteem' : 'low', 'life satisfaction' : 'low', 'fear of future' : 'high', 'expressing optimism' : 'low', 'peace with thoughts and feelings' : 'low', 'purpose in life' : 'low', 'depression' : 'high', 'anxiety' : 'high', 'suffering' : 'high', 'belonging to society' : 'low' }"
1609382563797139456,"{ 'positive functioning' : 'high', 'belonging to society' : 'high', 'promoting good' : 'high' }"
1629280288629989376,"{ 'happiness' : 'high', 'expressing optimism' : 'high', 'vitality' : 'high' }"
1627629808837439488,"{ 'happiness' : 'high', 'life satisfaction' : 'high' }"
1632466976177106945,"{ 'happiness' : 'high', 'expressing gratitude' : 'high', 'feeling loved by god' : 'high', 'belief in god' : 'high', 'having hope' : 'high', 'expressing empathy' : 'high', 'promoting good' : 'high' }"
1629258554980044802,"{ 'life satisfaction' : 'high', 'positive functioning' : 'high', 'expressing job satisfaction' : 'high', 'expressing optimism' : 'high', 'mastery (ability, capability)' : 'high', 'promoting good' : 'high' }"
1627751038756261932,"{ 'happiness' : 'high', 'positive functioning' : 'high', 'promoting good' : 'high' }"
