dimension,value,id
 happiness ,high,1628773760265342978
 quality of relationships ,high,1628773760265342978
 feeling having a political voice ,high,1628773760265342978
 feeling having a political voice ,high,1630402477890707456
resilience ,high,1628554929290739712
 expressing optimism ,high,1628554929290739712
 balance in the various aspects of own life ,high,1628554929290739712
 depression ,high,1632264965569560577
 loneliness ,high,1632264965569560577
 happiness ,low,1628417470670184455
 life satisfaction ,low,1628417470670184455
 fear of future ,high,1628417470670184455
 vitality ,low,1628417470670184455
 having energy ,low,1628417470670184455
 positive functioning ,low,1628417470670184455
 peace with thoughts and feelings ,low,1628417470670184455
 purpose in life ,low,1628417470670184455
religious criticism ,high,1628417470670184455
 happiness ,high,1629163904940097537
 expressing optimism ,high,1629163904940097537
 belonging to society ,high,1629163904940097537
 expressing gratitude ,high,1629163904940097537
 having hope ,high,1629163904940097537
 happiness ,high,1629028559913197569
 life satisfaction ,high,1629028559913197569
 positive functioning ,high,1629028559913197569
 expressing optimism ,high,1629028559913197569
 belonging to society ,high,1629028559913197569
 expressing gratitude ,high,1629028559913197569
 having hope ,high,1629028559913197569
 promoting good ,high,1629028559913197569
 happiness ,high,1625800387914604544
 expressing optimism ,high,1625800387914604544
 quality of relationships ,low,1625800387914604544
 purpose in life ,high,1626742474424340480
 balance in the various aspects of own life ,high,1626742474424340480
 happiness ,medium,1631425391524220928
 balance in the various aspects of own life ,high,1631425391524220928
 happiness ,high,1632145964390576129
 happiness ,high,1632967534814060545
 quality of relationships ,medium,1632967534814060545
self-esteem ,high,1628056969213771776
 quality of relationships ,high,1628056969213771776
 having hope ,high,1628056969213771776
 happiness ,high,1629169683030245376
 expressing altruism ,high,1629169683030245376
 promoting good ,high,1629169683030245376
 purpose in life ,high,1626357006931054594
 capability) ,high,1626357006931054594
suffering ,high,1629378907488276480
 expressing trust ,high,1629378907488276480
 describing health limitations ,high,1629378907488276480
 perceiving discrimination ,medium,1626148717668536320
 feeling having a political voice ,high,1626148717668536320
 happiness ,high,1609395836475310080
 having hope ,high,1609395836475310080
 happiness ,low,1626363420189642753
resilience ,low,1626363420189642753
 life satisfaction ,low,1626363420189642753
 fear of future ,high,1626363420189642753
 vitality ,low,1626363420189642753
 having energy ,low,1626363420189642753
 positive functioning ,low,1626363420189642753
 expressing optimism ,low,1626363420189642753
 peace with thoughts and feelings ,low,1626363420189642753
 depression ,high,1626363420189642753
 anxiety ,high,1626363420189642753
suffering ,high,1626363420189642753
 belonging to society ,low,1626363420189642753
 feeling having a political voice ,high,1626363420189642753
 happiness ,high,1632428601487261697
self-esteem ,medium,1632428601487261697
 life satisfaction ,medium,1632428601487261697
 positive functioning ,high,1632428601487261697
 expressing optimism ,high,1632428601487261697
 belonging to society ,low,1632428601487261697
 perceiving discrimination ,high,1632428601487261697
 expressing optimism ,high,1626945710070325252
 expressing altruism ,medium,1626945710070325252
 feeling having a political voice ,high,1626945710070325252
self-esteem ,high,1632339233393324034
 quality of relationships ,high,1632339233393324034
 expressing empathy ,high,1632339233393324034
 perceiving discrimination ,medium,1625876384143769600
 feeling having a political voice ,high,1625876384143769600
 expressing optimism ,high,1629641423170461696
 expressing trust ,high,1629641423170461696
 feeling having a political voice ,high,1629641423170461696
 quality of relationships ,medium,1631710320610746368
 fear of future ,high,1625898371562057729
 perceiving discrimination ,high,1625898371562057729
 feeling having a political voice ,high,1625898371562057729
 fear of future ,high,1625847777644408833
 expressing trust ,medium,1625847777644408833
 financial/material worry ,high,1625847777644408833
 happiness ,low,1627658946382123008
 life satisfaction ,low,1627658946382123008
 fear of future ,high,1627658946382123008
 vitality ,low,1627658946382123008
 having energy ,low,1627658946382123008
 positive functioning ,low,1627658946382123008
 expressing optimism ,low,1627658946382123008
 peace with thoughts and feelings ,low,1627658946382123008
 belonging to society ,low,1627658946382123008
 perceiving discrimination ,high,1627658946382123008
 financial/material worry ,high,1627658946382123008
 feeling having a political voice ,high,1627658946382123008
 happiness ,low,1630447018546962432
 life satisfaction ,low,1630447018546962432
 expressing optimism ,low,1630447018546962432
 peace with thoughts and feelings ,low,1630447018546962432
 depression ,high,1630447018546962432
 anxiety ,high,1630447018546962432
 feeling pain ,high,1630447018546962432
 belonging to society ,low,1630447018546962432
 perceiving discrimination ,high,1630447018546962432
resilience ,high,1626529324558852097
 expressing optimism ,high,1626529324558852097
 expressing gratitude ,high,1626529324558852097
 having hope ,high,1626529324558852097
 promoting good ,high,1626529324558852097
 expressing empathy ,high,1626529324558852097
 balance in the various aspects of own life ,low,1634312215481204738
 happiness ,low,1632740036956377088
resilience ,low,1632740036956377088
 life satisfaction ,low,1632740036956377088
 fear of future ,high,1632740036956377088
 vitality ,low,1632740036956377088
 having energy ,low,1632740036956377088
 positive functioning ,low,1632740036956377088
 expressing optimism ,low,1632740036956377088
 peace with thoughts and feelings ,low,1632740036956377088
 purpose in life ,low,1632740036956377088
 depression ,high,1632740036956377088
 anxiety ,high,1632740036956377088
suffering ,high,1632740036956377088
 belonging to society ,low,1632740036956377088
 quality of relationships ,low,1632740036956377088
 balance in the various aspects of own life ,low,1632740036956377088
 capability) ,low,1632740036956377088
 perceiving discrimination ,high,1632740036956377088
 feeling having a political voice ,medium,1632740036956377088
 expressing empathy ,high,1632740036956377088
 loneliness ,high,1631313702116003841
 capability) ,medium,1629852478064803841
 feeling having a political voice ,high,1629852478064803841
 loneliness ,high,1632273926897139719
 happiness ,low,1629473195903336451
 life satisfaction ,low,1629473195903336451
 fear of future ,high,1629473195903336451
 vitality ,low,1629473195903336451
 having energy ,low,1629473195903336451
 positive functioning ,low,1629473195903336451
 expressing optimism ,low,1629473195903336451
 peace with thoughts and feelings ,low,1629473195903336451
 depression ,high,1629473195903336451
 anxiety ,high,1629473195903336451
suffering ,high,1629473195903336451
 balance in the various aspects of own life ,low,1629473195903336451
 perceiving discrimination ,medium,1629473195903336451
 describing health limitations ,medium,1629473195903336451
 expressing optimism ,high,1632342928709304322
 positive functioning ,high,1632342928709304322
 happiness ,medium,1632342928709304322
 expressing empathy ,high,1632342928709304322
 happiness ,high,1625737282387845122
 expressing altruism ,high,1625737282387845122
 promoting good ,high,1625737282387845122
 expressing empathy ,high,1625737282387845122
resilience ,high,1631643694834110471
 capability) ,high,1631643694834110471
 happiness ,high,1633785590578655232
 expressing optimism ,high,1633785590578655232
 positive functioning ,high,1633785590578655232
 expressing gratitude ,high,1633785590578655232
 happiness ,high,1629196498473713665
 expressing gratitude ,high,1629196498473713665
 quality of relationships ,medium,1628601516314726400
 happiness ,high,1630065633479249920
 quality of relationships ,low,1629692482215718912
 quality of relationships ,medium,1632081191150006273
 happiness ,low,1630966862132527105
resilience ,medium,1630966862132527105
self-esteem ,low,1630966862132527105
 life satisfaction ,low,1630966862132527105
 fear of future ,high,1630966862132527105
 vitality ,low,1630966862132527105
 having energy ,low,1630966862132527105
 positive functioning ,low,1630966862132527105
 expressing optimism ,low,1630966862132527105
 peace with thoughts and feelings ,low,1630966862132527105
 depression ,high,1630966862132527105
 anxiety ,high,1630966862132527105
suffering ,high,1630966862132527105
 balance in the various aspects of own life ,low,1630966862132527105
 describing health limitations ,high,1630966862132527105
 life satisfaction ,high,1627251541504626688
 happiness ,high,1627251541504626688
 expressing gratitude ,high,1627251541504626688
 having hope ,high,1627251541504626688
 happiness ,high,1627726991523778564
resilience ,medium,1627726991523778564
self-esteem ,medium,1627726991523778564
 life satisfaction ,medium,1627726991523778564
 expressing optimism ,high,1627726991523778564
 positive functioning ,high,1627726991523778564
 belonging to society ,high,1627726991523778564
 expressing trust ,high,1627726991523778564
 balance in the various aspects of own life ,medium,1627726991523778564
 feeling having a political voice ,high,1627726991523778564
 having hope ,high,1627726991523778564
 promoting good ,high,1627726991523778564
 expressing empathy ,high,1627726991523778564
 expressing optimism ,low,1632499370984701952
 belonging to society ,low,1632499370984701952
 describing health limitations ,medium,1632499370984701952
 happiness ,high,1629527415230701570
 expressing gratitude ,high,1629527415230701570
 promoting good ,high,1629527415230701570
 expressing empathy ,high,1629527415230701570
 happiness ,medium,1628756561106534402
 expressing gratitude ,high,1628756561106534402
 feeling having a political voice ,high,1628756756854632448
 happiness ,high,1632407862092914689
 vitality ,high,1632407862092914689
 expressing optimism ,high,1632407862092914689
 peace with thoughts and feelings ,high,1632407862092914689
 describing sexual health issues ,high,1632407862092914689
 happiness ,high,1609380762188656640
 expressing altruism ,high,1609380762188656640
 promoting good ,high,1609380762188656640
 expressing empathy ,high,1609380762188656640
 anxiety ,high,1626959743817519106
 ptsd (post-traumatic stress disorder) ,medium,1626959743817519106
 happiness ,low,1631146193156972545
resilience ,low,1631146193156972545
 life satisfaction ,low,1631146193156972545
 fear of future ,high,1631146193156972545
 vitality ,low,1631146193156972545
 having energy ,low,1631146193156972545
 positive functioning ,low,1631146193156972545
 expressing optimism ,low,1631146193156972545
 peace with thoughts and feelings ,low,1631146193156972545
 depression ,high,1631146193156972545
 anxiety ,high,1631146193156972545
suffering ,high,1631146193156972545
 belonging to society ,low,1631146193156972545
 quality of relationships ,low,1631146193156972545
 feeling pain ,high,1631146193156972545
 having hope ,low,1631146193156972545
 promoting good ,medium,1631146193156972545
 expressing empathy ,high,1631146193156972545
 happiness ,high,1629215169179181056
 life satisfaction ,high,1629215169179181056
 positive functioning ,high,1629215169179181056
 expressing optimism ,high,1629215169179181056
 balance in the various aspects of own life ,high,1629215169179181056
 belonging to society ,high,1629215169179181056
 expressing gratitude ,high,1629215169179181056
 having hope ,high,1629215169179181056
 promoting good ,high,1629215169179181056
 happiness ,medium,1628140281957650456
 expressing gratitude ,high,1628140281957650456
religious criticism ,high,1632427145522708482
 feeling having a political voice ,high,1632427145522708482
 financial/material worry ,high,1630471986236252160
 perceiving discrimination ,high,1629984877419593729
self-esteem ,medium,1633181630381830144
 capability) ,medium,1633181630381830144
 anxiety ,high,1631708159663558656
suffering ,high,1631708159663558656
 perceiving discrimination ,high,1627707548248702988
 loneliness ,high,1631696485095211013
 happiness ,high,1629057992766152704
 belonging to society ,high,1629057992766152704
 describing drinking related health issues ,medium,1628422604406259712
 happiness ,high,1628523745022251009
 expressing job satisfaction ,high,1628523745022251009
 happiness ,high,1628382563046653954
 expressing gratitude ,high,1628382563046653954
 happiness ,high,1631702622653808644
suffering ,high,1629703596433391617
 feeling having a political voice ,high,1629703596433391617
 happiness ,high,1631331796234141698
 expressing gratitude ,high,1631331796234141698
 life after death belief ,high,1631331796234141698
 happiness ,high,1629495770951950336
