dimension,value,id
 happiness ,high,1628773760265342978
 quality of relationships ,high,1628773760265342978
 feeling having a political voice ,high,1628773760265342978
 quality of relationships ,low,1626109667683323905
 expressing empathy ,low,1626109667683323905
 happiness ,low,1632901992971395077
 life satisfaction ,low,1632901992971395077
 fear of future ,high,1632901992971395077
 vitality ,low,1632901992971395077
 having energy ,low,1632901992971395077
 positive functioning ,low,1632901992971395077
 expressing optimism ,low,1632901992971395077
 peace with thoughts and feelings ,low,1632901992971395077
 depression ,high,1632901992971395077
 anxiety ,high,1632901992971395077
suffering ,high,1632901992971395077
 belonging to society ,low,1632901992971395077
 perceiving discrimination ,medium,1632901992971395077
 feeling having a political voice ,high,1632901992971395077
 happiness ,high,1626301212483112961
 expressing empathy ,high,1626301212483112961
 feeling having a political voice ,high,1630402477890707456
resilience ,high,1628554929290739712
 expressing optimism ,high,1628554929290739712
 balance in the various aspects of own life ,high,1628554929290739712
 depression ,high,1632264965569560577
 loneliness ,high,1632264965569560577
self-esteem ,high,1631258462519803907
 happiness ,high,1631258462519803907
 expressing optimism ,high,1631258462519803907
 capability) ,high,1631258462519803907
 belonging to society ,low,1625983313398595584
 balance in the various aspects of own life ,medium,1625983313398595584
self-esteem ,high,1631422902225588228
 capability) ,high,1631422902225588228
 happiness ,low,1631294082646528004
resilience ,medium,1631294082646528004
 life satisfaction ,low,1631294082646528004
 fear of future ,high,1631294082646528004
 vitality ,low,1631294082646528004
 having energy ,low,1631294082646528004
 positive functioning ,low,1631294082646528004
 expressing optimism ,low,1631294082646528004
 peace with thoughts and feelings ,low,1631294082646528004
 depression ,high,1631294082646528004
 anxiety ,high,1631294082646528004
suffering ,high,1631294082646528004
 balance in the various aspects of own life ,low,1631294082646528004
 perceiving discrimination ,high,1631294082646528004
 having hope ,low,1631294082646528004
 happiness ,high,1626474581811773441
 happiness ,low,1628417470670184455
self-esteem ,low,1628417470670184455
 life satisfaction ,low,1628417470670184455
 fear of future ,high,1628417470670184455
 vitality ,low,1628417470670184455
 having energy ,low,1628417470670184455
 positive functioning ,low,1628417470670184455
 expressing optimism ,low,1628417470670184455
 peace with thoughts and feelings ,low,1628417470670184455
 purpose in life ,low,1628417470670184455
religious criticism ,high,1628417470670184455
 happiness ,low,1632506387493277697
 vitality ,low,1632506387493277697
 having energy ,low,1632506387493277697
 positive functioning ,low,1632506387493277697
 expressing optimism ,low,1632506387493277697
 balance in the various aspects of own life ,low,1632506387493277697
 describing health limitations ,high,1632506387493277697
self-esteem ,high,1628787181215940608
 feeling having a political voice ,low,1631214626267631617
resilience ,low,1634171865244598272
 quality of relationships ,low,1634171865244598272
 feeling having a political voice ,high,1634171865244598272
 happiness ,high,1630151796168744961
 life satisfaction ,high,1630151796168744961
 positive functioning ,high,1630151796168744961
 expressing optimism ,high,1630151796168744961
 balance in the various aspects of own life ,high,1630151796168744961
 having hope ,high,1630151796168744961
 happiness ,low,1628943582450302977
 life satisfaction ,low,1628943582450302977
 fear of future ,high,1628943582450302977
 vitality ,low,1628943582450302977
 having energy ,low,1628943582450302977
 positive functioning ,low,1628943582450302977
 expressing optimism ,low,1628943582450302977
 peace with thoughts and feelings ,low,1628943582450302977
 balance in the various aspects of own life ,low,1628943582450302977
 capability) ,low,1628943582450302977
 describing health limitations ,high,1628943582450302977
 belonging to society ,medium,1627822668673081345
 happiness ,low,1627340340846788609
 life satisfaction ,low,1627340340846788609
 vitality ,low,1627340340846788609
 having energy ,low,1627340340846788609
 positive functioning ,low,1627340340846788609
 expressing optimism ,low,1627340340846788609
 peace with thoughts and feelings ,low,1627340340846788609
 balance in the various aspects of own life ,low,1627340340846788609
 perceiving discrimination ,high,1628678814610890752
 feeling having a political voice ,high,1628678814610890752
resilience ,medium,1630645999202107393
 expressing trust ,low,1630645999202107393
 describing health limitations ,high,1630645999202107393
 happiness ,high,1632355500657369088
 expressing gratitude ,high,1632355500657369088
 expressing altruism ,high,1628225423350824960
 charitable giving/helping ,high,1628225423350824960
 happiness ,high,1629163904940097537
 expressing gratitude ,high,1629163904940097537
 happiness ,high,1629028559913197569
 life satisfaction ,high,1629028559913197569
 positive functioning ,high,1629028559913197569
 expressing optimism ,high,1629028559913197569
 balance in the various aspects of own life ,high,1629028559913197569
 expressing gratitude ,high,1629028559913197569
 having hope ,high,1629028559913197569
 promoting good ,high,1629028559913197569
 happiness ,high,1626785679026839553
 expressing optimism ,high,1626785679026839553
 expressing gratitude ,high,1626785679026839553
 expressing empathy ,high,1626785679026839553
 expressing delayed gratification ,high,1628211067292622848
 happiness ,high,1625800387914604544
 expressing optimism ,high,1625800387914604544
 quality of relationships ,medium,1625800387914604544
 having hope ,high,1625800387914604544
 happiness ,high,1631440103838187521
 purpose in life ,high,1626742474424340480
 balance in the various aspects of own life ,high,1626742474424340480
 having hope ,high,1626742474424340480
 happiness ,medium,1631425391524220928
 balance in the various aspects of own life ,high,1631425391524220928
 happiness ,low,1631554560329412610
self-esteem ,low,1631554560329412610
 life satisfaction ,low,1631554560329412610
 vitality ,low,1631554560329412610
 having energy ,low,1631554560329412610
 positive functioning ,low,1631554560329412610
 expressing optimism ,low,1631554560329412610
 peace with thoughts and feelings ,low,1631554560329412610
 depression ,medium,1631554560329412610
 anxiety ,medium,1631554560329412610
suffering ,high,1631554560329412610
 feeling pain ,high,1631554560329412610
 balance in the various aspects of own life ,low,1631554560329412610
 fear of future ,high,1631202132945674240
 feeling having a political voice ,high,1631202132945674240
 expressing gratitude ,high,1627336301484580866
 belief in god ,high,1627336301484580866
 happiness ,high,1632145964390576129
 quality of relationships ,low,1630634220010852352
 happiness ,high,1630548080788660224
 expressing gratitude ,high,1630548080788660224
 feeling having a political voice ,medium,1628274899994255362
 happiness ,high,1632967534814060545
 quality of relationships ,medium,1632967534814060545
 capability) ,low,1630909107422236677
self-esteem ,low,1630909107422236677
 happiness ,low,1630909107422236677
resilience ,medium,1630909107422236677
 life satisfaction ,low,1630909107422236677
 fear of future ,high,1630909107422236677
 vitality ,low,1630909107422236677
 having energy ,low,1630909107422236677
 positive functioning ,low,1630909107422236677
 expressing job satisfaction ,low,1630909107422236677
 expressing optimism ,low,1630909107422236677
 peace with thoughts and feelings ,low,1630909107422236677
 balance in the various aspects of own life ,low,1630909107422236677
 belonging to society ,low,1630909107422236677
 having hope ,high,1630909107422236677
 describing health limitations ,medium,1630909107422236677
 quality of relationships ,medium,1628476666463895554
 belief in god ,high,1632974707741048832
self-esteem ,high,1626056637566926848
 happiness ,high,1632663613541416961
 quality of relationships ,high,1632663613541416961
 promoting good ,high,1632663613541416961
 happiness ,high,1625961207482941440
 balance in the various aspects of own life ,medium,1625961207482941440
self-esteem ,high,1628056969213771776
 quality of relationships ,high,1628056969213771776
 having hope ,high,1628056969213771776
 financial/material worry ,high,1631623434751860737
 feeling pain ,high,1629545401723265026
 describing health limitations ,high,1629545401723265026
 happiness ,high,1629169683030245376
 expressing altruism ,medium,1629169683030245376
 promoting good ,high,1629169683030245376
 quality of relationships ,low,1625832227027185666
 feeling having a political voice ,medium,1630640472547835929
 happiness ,high,1633056693620703233
 life satisfaction ,high,1633056693620703233
 positive functioning ,high,1633056693620703233
 expressing optimism ,high,1633056693620703233
 balance in the various aspects of own life ,high,1633056693620703233
 belonging to society ,medium,1633056693620703233
 expressing gratitude ,high,1633056693620703233
 having hope ,high,1633056693620703233
 promoting good ,high,1633056693620703233
 purpose in life ,high,1626357006931054594
 capability) ,high,1626357006931054594
 describing football related health issues ,medium,1632077818535321600
self-esteem ,high,1627834897543856130
suffering ,high,1629378907488276480
 describing health limitations ,high,1629378907488276480
 perceiving discrimination ,medium,1626148717668536320
 feeling having a political voice ,high,1626148717668536320
 quality of relationships ,medium,1627239225266520065
 promoting good ,medium,1627239225266520065
 capability) ,high,1631088427385999360
 happiness ,high,1609395836475310080
 having hope ,high,1609395836475310080
 happiness ,medium,1629247616260390913
 happiness ,low,1626363420189642753
resilience ,low,1626363420189642753
 life satisfaction ,low,1626363420189642753
 fear of future ,high,1626363420189642753
 vitality ,low,1626363420189642753
 having energy ,low,1626363420189642753
 positive functioning ,low,1626363420189642753
 expressing optimism ,low,1626363420189642753
 peace with thoughts and feelings ,low,1626363420189642753
 depression ,high,1626363420189642753
 anxiety ,high,1626363420189642753
suffering ,high,1626363420189642753
 belonging to society ,low,1626363420189642753
 feeling having a political voice ,high,1626363420189642753
 happiness ,high,1629324992126103552
 quality of relationships ,high,1629324992126103552
 promoting good ,high,1629324992126103552
 happiness ,high,1632428601487261697
self-esteem ,medium,1632428601487261697
 life satisfaction ,low,1632428601487261697
 vitality ,high,1632428601487261697
 having energy ,high,1632428601487261697
 positive functioning ,high,1632428601487261697
 expressing optimism ,low,1632428601487261697
 peace with thoughts and feelings ,low,1632428601487261697
 belonging to society ,low,1632428601487261697
 perceiving discrimination ,high,1632428601487261697
 expressing optimism ,high,1626945710070325252
 expressing altruism ,medium,1626945710070325252
 feeling having a political voice ,high,1626945710070325252
 expressing trust ,high,1632515501325705216
 feeling having a political voice ,high,1632276612447367169
 describing political beliefs ,medium,1632276612447367169
 feeling having a political voice ,high,1627344870565183489
 expressing trust ,low,1626489011580592130
 feeling having a political voice ,high,1626489011580592130
 happiness ,high,1632163742690471938
 feeling having a political voice ,high,1629839920339595267
 anxiety ,high,1631209106529812481
suffering ,high,1631714058872459264
 loneliness ,medium,1631714058872459264
 expressing trust ,low,1631920719545380864
 happiness ,high,1632940510334578688
 expressing gratitude ,high,1632940510334578688
 quality of relationships ,low,1626309883468435458
 happiness ,high,1626379200688177152
 balance in the various aspects of own life ,high,1626379200688177152
 belonging to society ,medium,1631830090970546176
 happiness ,low,1631830090970546176
 life satisfaction ,low,1631830090970546176
 positive functioning ,low,1631830090970546176
 expressing optimism ,low,1631830090970546176
 quality of relationships ,medium,1631830090970546176
 feeling trusted ,low,1631830090970546176
self-esteem ,high,1632339233393324034
 quality of relationships ,high,1632339233393324034
 expressing empathy ,high,1632339233393324034
 perceiving discrimination ,medium,1625876384143769600
 feeling having a political voice ,high,1625876384143769600
 expressing optimism ,high,1629641423170461696
 expressing trust ,high,1629641423170461696
 feeling having a political voice ,high,1629641423170461696
 expressing empathy ,medium,1631761901142040576
 quality of relationships ,medium,1631710320610746368
 fear of future ,high,1625898371562057729
 expressing trust ,low,1625898371562057729
 feeling having a political voice ,high,1625898371562057729
 fear of future ,high,1625847777644408833
 expressing trust ,medium,1625847777644408833
