dimension,value,confidence,id
happiness,high,0.9,1628773760265342978
quality of relationships,high,0.9,1628773760265342978
feeling having a political voice,high,1,1628773760265342978
self-esteem,medium,0.6,1626109667683323905
quality of relationships,medium,0.6,1626109667683323905
mastery (ability or capability),low,0.7,1632901992971395077
happiness,high,0.8,1626301212483112961
expressing gratitude,high,0.8,1626301212483112961
feeling having a political voice,high,0.8,1630402477890707456
life satisfaction,high,0.8,1628554929290739712
mastery (ability or capability),high,0.8,1628554929290739712
financial/material worry,low,0.9,1628554929290739712
depression,high,0.9,1632264965569560577
loneliness,high,0.9,1632264965569560577
having hope,low,0.9,1632264965569560577
life satisfaction,high,0.9,1625983313398595584
balance in the various aspects of own life,high,0.9,1625983313398595584
expressing delayed gratification,high,0.9,1625983313398595584
expressing trust,low,0.6,1631422902225588228
feeling having a political voice,high,0.9,1631422902225588228
expressing optimism,high,0.9,1631294082646528004
expressing trust,low,0.7,1631294082646528004
having hope,high,0.9,1631294082646528004
happiness,high,0.7,1626474581811773441
religious criticism,high,0.9,1628417470670184455
expressing delayed gratification,high,0.9,1628417470670184455
having energy,low,0.9,1632506387493277697
balance in the various aspects of own life,low,0.7,1632506387493277697
belief in god,high,0.9,1634171865244598272
having hope,high,0.8,1634171865244598272
happiness,high,0.9,1630151796168744961
quality of relationships,high,0.9,1630151796168744961
having hope,high,0.9,1630151796168744961
fear of future,high,0.8,1628943582450302977
expressing trust,low,0.6,1628943582450302977
describing health limitations,high,0.9,1628943582450302977
resilience,medium,0.6,1628678814610890752
perceiving discrimination,high,0.9,1628678814610890752
feeling having a political voice,high,0.9,1628678814610890752
expressing trust,medium,0.6,1630645999202107393
describing health limitations,high,0.9,1630645999202107393
purpose in life,high,0.9,1628225423350824960
expressing altruism,high,0.9,1628225423350824960
volunteering,medium,0.7,1628225423350824960
expressing empathy,high,0.9,1628225423350824960
happiness,high,0.9,1629163904940097537
expressing altruism,high,0.9,1629163904940097537
having hope,high,0.9,1629163904940097537
expressing empathy,high,0.9,1629163904940097537
happiness,high,0.9,1629028559913197569
expressing altruism,high,0.9,1629028559913197569
having hope,high,0.9,1629028559913197569
expressing empathy,high,0.9,1629028559913197569
happiness,high,0.9,1626785679026839553
expressing altruism,high,0.9,1626785679026839553
promoting good,high,0.8,1626785679026839553
expressing empathy,high,0.9,1626785679026839553
expressing trust,high,0.9,1628211067292622848
happiness,high,0.9,1631440103838187521
expressing gratitude,high,0.9,1631440103838187521
purpose in life,high,0.9,1626742474424340480
balance in the various aspects of own life,high,0.9,1626742474424340480
having hope,high,0.9,1626742474424340480
happiness,medium,0.6,1631425391524220928
belonging to society,medium,0.6,1631425391524220928
fear of future,high,0.8,1631202132945674240
belonging to society,high,0.9,1631202132945674240
feeling having a political voice,high,0.9,1631202132945674240
happiness,high,0.9,1627336301484580866
expressing gratitude,high,1,1627336301484580866
having hope,high,0.9,1627336301484580866
happiness,high,0.9,1632145964390576129
belonging to society,high,0.8,1632145964390576129
expressing empathy,high,0.9,1632145964390576129
self-esteem,low,0.7,1630634220010852352
quality of relationships,low,0.7,1630634220010852352
happiness,high,0.8,1630548080788660224
expressing gratitude,high,0.9,1630548080788660224
resilience,medium,0.6,1630909107422236677
mastery (ability or capability),medium,0.6,1630909107422236677
describing health limitations,medium,0.6,1630909107422236677
happiness,high,0.9,1628476666463895554
expressing gratitude,high,0.9,1628476666463895554
promoting good,medium,0.6,1628476666463895554
expressing empathy,high,0.9,1628476666463895554
happiness,high,0.9,1632974707741048832
