tweet_lang,message_id,tweet_text
en,1628773760265342978,"I feel I truly am living my best life. I get the excitement of giving speeches and political debates all over the country, and my talk show is succeeding. I'm secure for the time being. And now I get to go home to a loving family. If there's more to life... I don't know what it…"
en,1626109667683323905,Was on the phone with my friend and she said I look like I'm about to sing a song about killing my ex. Getting this weave removed immediately 😩
en,1632901992971395077,Brutal Final #Jeopardy today.  I knew who the answer was but there was no way I was coming up with his name.  None of the contestants got it.   One was at least on right track.  Category is U.S. History.  Remember that Mayim Bialik is awful & should not be hosting @Jeopardy. https://t.co/pW6yNJdWD4
en,1626301212483112961,@MonalisaLucenzo So lovely ♥️🔥
en,1630402477890707456,@SelinaJ13294330 @Reuters Curious. How do you know what's going on here?? Many Israelis wouldn't be able to describe the situation. Do you somehow have access to Israeli TV??
en,1628554929290739712,I feel like the best thing I’ve done is fought Sam’s Club to convert my membership to TE…makes my life so much easier when i turn in receipts
en,1632264965569560577,@InoshMuqaddas I don't see any p in my life😭😭
en,1631258462519803907,The unbeatable duo of excellence. 💯 https://t.co/08zQRN4Ski
en,1625983313398595584,"Crazy seeing people talking about switching their living situation for Fortnite. Nothing against Texas, but no way I would move there for a video game. Not to mention the fact I love living in NC."
en,1631422902225588228,"@jledger84 @7News @ArmyChiefStaff @TownOfLexMA @CityofQuincy @AOC 🅰️RULE 8-v
⛔️🚨🚫SOCIAL MEDIA PAGES🚨
🅱️🙋‍♂️TAKEN US HISTORY📂
📲Told everyone...🤷‍♂️
💰There is only
1️⃣thing more valuable than a
📜Constitution.✔️
🦺🃏The FakeNewz.☣️📚
🔐Why I grabbed it 4u.🏁
🚨It doesn't go down in value. 
📚Only UP.📈
🗝I learned in school.
🏡Maybe around.🤷‍♂️ https://t.co/wjcURKSvaC"
en,1631294082646528004,I really hope things will go well🙏🏻 All of those haters should pay the penalty.
en,1626474581811773441,@HighlyUnlikely0 Very nice
en,1628417470670184455,@Bucksurly1 @humphreyreiny You dirty dog. Today is ash wednesday you animal and my daughters gave up blowjobs for lent…..have some fucking respect for religion
en,1632506387493277697,Broo I just need like one whole day to sleep🥱😮‍💨
en,1628787181215940608,Follow me back love ♥️ @pvthead
en,1631214626267631617,"@Eddieonfox I think he signs with the Kings as well. Wasn’t going to happen in Buffalo.

⚔️👑"
en,1634171865244598272,"When He has come & found a people who don’t know how to adjust themselves into accommodating Him, then He has stood on the door , knocked & they wouldn’t let Him in because they don’t know how to adjust themselves accordingly & it’s happened over & over 
#ProphetElvisMbonye https://t.co/aWuYMtI005"
en,1630151796168744961,I hope I wanna marry my senpai Gene Shinozaki and having a baby in GOD'S will. Family is life! 💕
en,1628943582450302977,"@GmaElaine6 @Yolitatennis Tiley shudn’t have

How cud he play w/ such a long tear! Really surprising

Even more, wasn’t he afraid that continuing 2 play w/ such injury will force him into an extended brk if it worsens?

Or, AO FO matters d most n he is happy (if required) to rest n heal the in-b/w months!"
en,1627822668673081345,By @sergiomejia @Oye897  via instagramstories #ilvolo #mexico #ilvolovers @ilvolo https://t.co/ljpf6XVe0S
en,1627340340846788609,@StillSelfish @OptaJoe Yeah it tends to happen when you not losing cup fixtures
