"dimension","acc","f1","prec","recall","spec","sens","balAcc","model","bpar","ft","type","n","ntext","accD","accI","FN","FP","jac","jac2","ham","fname"
"happiness",0.822115384615385,0.785450711649974,0.702167766258247,0.891148325358852,0.78236914600551,0.891148325358852,0.836758735682181,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"resilience",0.930506993006993,0.56198347107438,0.453333333333333,0.739130434782609,0.942790697674419,0.739130434782609,0.840960566228514,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"self-esteem",0.921765734265734,0.553615960099751,0.513888888888889,0.6,0.950071326676177,0.6,0.775035663338088,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"life satisfaction",0.854458041958042,0.0512820512820513,0.028391167192429,0.264705882352941,0.863354037267081,0.264705882352941,0.564029959810011,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"fear of future",0.929195804195804,0.588832487309645,0.447876447876448,0.859259259259259,0.933581049698096,0.859259259259259,0.896420154478677,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"vitality",0.932692307692308,0.0375,0.0191082802547771,1,0.932603938730853,1,0.966301969365427,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"having energy",0.972465034965035,0.336842105263158,0.225352112676056,0.666666666666667,0.975706713780919,0.666666666666667,0.821186690223793,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"positive functioning",0.811188811188811,0.0091743119266055,0.0046189376443418,0.666666666666667,0.811378555798687,0.666666666666667,0.739022611232677,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"expressing job satisfaction",0.978146853146853,NA,0,NA,0.978146853146853,NA,NA,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"expressing optimism",0.781905594405594,0.251874062968516,0.149732620320856,0.792452830188679,0.781393217231897,0.792452830188679,0.786923023710288,"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
