"model","bpar","ft","type","n","ntext","accD","accI","FN","FP","jac","jac2","ham","fname"
"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"LLAMA2",13,"NO","FULL",100004,2174,0.452761889524419,0.424623015079397,0.0495680172793088,0.497670093196272,0.111311579975131,0.44312865783241,0.547238110475581,"classified-L2-13B"
"LLAMA2",70,"YES","FULL",99912,2172,0.859906717911762,0.853260869565217,0.0951437264793018,0.0449495556089359,0.18047290380841,0.84183613494769,0.140093282088238,"classified-L2-70B-FT"
"LLAMA2",70,"NO","FULL",100050,2175,0.643368315842079,0.619620189905048,0.0547326336831584,0.301899050474763,0.161638880367585,0.629679628270971,0.356631684157921,"classified-L2-70B"
"LLAMA2",7,"NO","FULL",99912,2172,0.853350948834975,0.84597445752262,0.0950236207862919,0.0516254303787333,0.174018993334627,0.835576583989656,0.146649051165025,"classified-L2-7B"
"LLAMA3",70,"YES","FULL",99866,2171,0.85192157491038,0.843900827108325,0.091632787935834,0.0564456371537861,0.187641891472881,0.834001391652048,0.14807842508962,"classified-L3-70B-FT"
"LLAMA3",70,"NO","FULL",100142,2177,0.758692656427872,0.739100477322203,0.0597651335104152,0.181542210061712,0.211148890783167,0.742550259482599,0.241307343572128,"classified-L3-70B"
"LLAMA3",8,"YES","FULL",100004,2174,0.746680132794688,0.72588096476141,0.06208751649934,0.191232350705972,0.197719360277117,0.7308031083012,0.253319867205312,"classified-L3-8B-FT"
"LLAMA3",8,"NO","FULL",99774,2169,0.720267805239842,0.696784733497705,0.0747890231924149,0.204943171567743,0.146264202097235,0.704942958319845,0.279732194760158,"classified-L3-8B"
"LLAMA31",405,"NO","FULL",77648,1688,0.796453224809396,0.777598907892026,0.0699052132701422,0.133641561920462,0.206457818775617,0.779532620752244,0.203546775190604,"classified-L31-405B"
"LLAMA31",70,"NO","FULL",100096,2176,0.781939338235294,0.761468989769821,0.0646479379795396,0.153412723785166,0.21519471388737,0.765312108886108,0.218060661764706,"classified-L31-70B"
"LLAMA31",8,"NO","FULL",100004,2174,0.549658013679453,0.518729250829967,0.0415783368665253,0.408763649454022,0.163281138080324,0.537963162324571,0.450341986320547,"classified-L31-8B"
"LLAMA32",1,"YES","FULL",43700,950,0.768970251716247,0.751647597254005,0.0859496567505721,0.145080091533181,0.136291828929873,0.752698768197088,0.231029748283753,"classified-L32-1B-FT"
"LLAMA32",1,"NO","FULL",99130,2155,0.32408957934026,0.265338444466862,0.0307878543326944,0.645122566327045,0.115779622489016,0.317194056375574,0.67591042065974,"classified-L32-1B"
"LLAMA32",3,"YES","FULL",98624,2144,0.760119240752758,0.745356099935107,0.0728321706683971,0.167048588578845,0.174970576544742,0.743946490949508,0.239880759247242,"classified-L32-3B-FT"
"LLAMA32",3,"NO","FULL",98992,2152,0.291508404719573,0.243918700501051,0.0199612089865848,0.688530386293842,0.126821594805665,0.285306098236178,0.708491595280427,"classified-L32-3B"
