"dimension","acc","f1","prec","recall","spec","sens","balAcc","model","bpar","ft","type","n","ntext","accD","accI","FN","FP","jac","jac2","ham","fname"
"happiness",0.542483660130719,0.557894736842105,0.410852713178295,0.868852459016393,0.380097879282219,0.868852459016393,0.624475169149306,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"resilience",0.922657952069717,0.0138888888888889,0.0625,0.0078125,0.991217798594848,0.0078125,0.499515149297424,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"self-esteem",0.912309368191721,0.0903954802259887,0.258064516129032,0.0547945205479452,0.986390532544379,0.0547945205479452,0.520592526546162,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"life satisfaction",0.806644880174292,0.0166204986149584,0.00892857142857143,0.12,0.816123688569851,0.12,0.468061844284925,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"fear of future",0.804466230936819,0.321361058601134,0.21356783919598,0.648854961832061,0.816422287390029,0.648854961832061,0.732638624611045,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"vitality",0.987472766884532,NA,0,0,0.988549618320611,0,0.494274809160305,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"having energy",0.714596949891068,0.0367647058823529,0.0189753320683112,0.588235294117647,0.715777899945025,0.588235294117647,0.652006597031336,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"positive functioning",0.999455337690632,NA,NA,0,1,0,0.5,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing job satisfaction",1,NA,NA,NA,1,NA,NA,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing optimism",0.404684095860566,0.107755102040816,0.0575916230366492,0.835443037974684,0.385315879339784,0.835443037974684,0.610379458657234,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"peace with thoughts and feelings",0.918845315904139,NA,0,NA,0.918845315904139,NA,NA,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"purpose in life",0.94880174291939,0.0961538461538462,0.142857142857143,0.072463768115942,0.9830220713073,0.072463768115942,0.527742919711621,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"depression",0.688453159041394,0.171014492753623,0.0991596638655462,0.621052631578947,0.69213095921884,0.621052631578947,0.656591795398894,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"anxiety",0.694989106753813,0.122257053291536,0.0686619718309859,0.557142857142857,0.700453001132503,0.557142857142857,0.62879792913768,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"suffering",0.99400871459695,NA,0,NA,0.99400871459695,NA,NA,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"feeling pain",0.937908496732026,0.313253012048193,0.240740740740741,0.448275862068966,0.953880764904387,0.448275862068966,0.701078313486676,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing altruism",0.837690631808279,0.404,0.647435897435897,0.293604651162791,0.96313672922252,0.293604651162791,0.628370690192655,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"loneliness",0.906318082788671,0.16504854368932,0.177083333333333,0.154545454545455,0.95422943221321,0.154545454545455,0.554387443379332,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
